team,alt_name,stadium,length,width
Arsenal,Arsenal,Emirates Stadium,105,68
Bournemouth,AFC Bournemouth,Dean Court,105,78
Chelsea,Chelsea,Stamford Bridge,103,67
Crystal Palace,Crystal Palace,Selhurst Park,100.58,67.67
Everton,Everton,Goodison Park,100.48,68
Hull City,Hull,KCOM Stadium,114,74
Leicester City,Leicester,King Power Stadium,102,67
Liverpool,Liverpool,Anfield,101,68
Manchester City,Man City,Etihad Stadium,105,68
Manchester United,Man United,Old Trafford,105,68
Middlesbrough,Middlesbrough,Riverside Stadium,105,69
Southampton,Southampton,St Mary's Stadium,105,68
Stoke City,Stoke,bet365 Stadium,105,68
Sunderland,Sunderland,Stadium of Light,105,68
Swansea City,Swansea,Liberty Stadium,105.16,67.67
Tottenham Hotspur,Tottenham,White Hart Lane,100,67
Watford,Watford,Vicarage Road,109.73,73.15
West Bromwich Albion,West Brom,The Hawthorns,105,68
West Ham United,West Ham,Olympic Stadium,105,68
Tromso,Tromsø IL,Alfheim Stadion,105,68
Brighton & Hove Albion,Brighton,Falmer Stadium,105,69
Huddersfield Town,Huddersfield,Kirklees Stadium,105,69
Burnley,Burnley,Turf Moor,105,68
Newcastle United,Newcastle,St James' Park,105,68
